iter	Passed	Remaining
0	310	309878
1	332	165689
2	354	117683
3	375	93519
4	402	80000
5	425	70418
6	444	63000
7	462	57395
8	485	53449
9	505	50037
10	531	47750
11	561	46190
12	580	44085
13	604	42553
14	624	40981
15	649	39971
16	670	38757
17	689	37620
18	712	36762
19	742	36394
20	775	36145
21	827	36782
22	885	37631
23	941	38269
24	1005	39207
25	1069	40070
26	1124	40539
27	1175	40809
28	1237	41449
29	1291	41750
30	1353	42311
31	1419	42935
32	1573	46108
33	1673	47545
34	1766	48695
35	1822	48806
36	1869	48651
37	1935	48996
38	2025	49901
39	2097	50335
40	2145	50177
41	2193	50039
42	2241	49893
43	2292	49800
44	2344	49751
45	2407	49937
46	2441	49506
47	2488	49362
48	2526	49042
49	2570	48830
50	2605	48490
51	2642	48166
52	2688	48031
53	2738	47974
54	2805	48207
55	2854	48122
56	2943	48691
57	3015	48983
58	3093	49332
59	3145	49278
60	3200	49267
61	3257	49279
62	3319	49374
63	3367	49242
64	3401	48923
65	3455	48896
66	3489	48597
67	3519	48237
68	3550	47907
69	3585	47636
70	3617	47336
71	3650	47048
72	3681	46754
73	3737	46769
74	3849	47481
75	4370	53133
76	4705	56399
77	4931	58295
78	5050	58885
79	5107	58733
80	5157	58514
81	5207	58294
82	5253	58044
83	5302	57820
84	5350	57601
85	5386	57247
86	5439	57085
87	5552	57542
88	5605	57380
89	5651	57145
90	5700	56939
91	5735	56606
92	5783	56402
93	5818	56077
94	5856	55788
95	5899	55554
96	5937	55274
97	5984	55086
98	6033	54909
99	6117	55057
100	6253	55665
101	6373	56109
102	6447	56148
103	6507	56060
104	6561	55925
105	6630	55921
106	6696	55889
107	6782	56018
108	6842	55930
109	6899	55820
110	6961	55757
111	6990	55422
112	7010	55028
113	7036	54689
114	7061	54344
115	7096	54082
116	7131	53818
117	7159	53512
118	7180	53163
119	7208	52861
120	7240	52595
121	7271	52332
122	7297	52029
123	7332	51801
124	7359	51517
125	7396	51304
126	7425	51044
127	7456	50797
128	7484	50537
129	7507	50244
130	7543	50042
131	7593	49935
132	7640	49806
133	7689	49695
134	7717	49452
135	7739	49169
136	7767	48926
137	7791	48669
138	7820	48441
139	7842	48177
140	7868	47936
141	7896	47713
142	7926	47505
143	7968	47369
144	8004	47200
145	8034	46996
146	8082	46900
147	8121	46754
148	8164	46628
149	8196	46447
150	8218	46209
151	8253	46043
152	8286	45871
153	8318	45696
154	8345	45494
155	8366	45265
156	8397	45087
157	8431	44931
158	8460	44749
159	8480	44524
160	8514	44368
161	8540	44178
162	8562	43966
163	8593	43804
164	8617	43608
165	8646	43441
166	8664	43219
167	8685	43013
168	8726	42907
169	8760	42773
170	8780	42565
171	8798	42353
172	8831	42219
173	8855	42039
174	8877	41851
175	8897	41658
176	8925	41502
177	8945	41308
178	8983	41204
179	9027	41123
180	9067	41030
181	9094	40877
182	9114	40693
183	9154	40598
184	9181	40448
185	9204	40280
186	9227	40116
187	9258	39990
188	9281	39825
189	9306	39673
190	9327	39505
191	9349	39347
192	9373	39194
193	9407	39086
194	9461	39060
195	9512	39021
196	9549	38924
197	9579	38800
198	9604	38658
199	9624	38498
200	9644	38339
201	9672	38212
202	9692	38053
203	9720	37928
204	9758	37842
205	9824	37866
206	9894	37905
207	9974	37980
208	10012	37892
209	10075	37901
210	10105	37787
211	10143	37703
212	10173	37588
213	10202	37471
214	10235	37372
215	10261	37243
216	10286	37118
217	10310	36985
218	10337	36864
219	10360	36734
220	10385	36607
221	10409	36479
222	10447	36402
223	10472	36278
224	10494	36148
225	10532	36072
226	10566	35981
227	10628	35988
228	10729	36124
229	10899	36488
230	11014	36666
231	11096	36733
232	11158	36730
233	11228	36756
234	11296	36772
235	11340	36710
236	11511	37059
237	11573	37055
238	11622	37008
239	11687	37011
240	11726	36932
241	11770	36868
242	11810	36793
243	11890	36841
244	11938	36789
245	11962	36664
246	11985	36538
247	12007	36409
248	12043	36324
249	12068	36205
250	12101	36110
251	12130	36005
252	12167	35926
253	12201	35835
254	12281	35882
255	12393	36018
256	12474	36065
257	12541	36068
258	12573	35971
259	12602	35868
260	12636	35779
261	12659	35657
262	12680	35534
263	12702	35411
264	12724	35292
265	12754	35194
266	12786	35102
267	12812	34994
268	12840	34893
269	12873	34805
270	12903	34709
271	12929	34605
272	12962	34518
273	12982	34397
274	13005	34286
275	13027	34173
276	13053	34070
277	13078	33966
278	13102	33858
279	13124	33748
280	13149	33645
281	13170	33533
282	13194	33428
283	13228	33351
284	13250	33242
285	13278	33149
286	13300	33043
287	13324	32940
288	13344	32830
289	13366	32723
290	13398	32644
291	13422	32545
292	13443	32439
293	13463	32331
294	13484	32226
295	13510	32133
296	13532	32031
297	13560	31943
298	13581	31840
299	13613	31765
300	13643	31682
301	13667	31590
302	13708	31533
303	13738	31454
304	13764	31365
305	13798	31294
306	13839	31239
307	13860	31141
308	13893	31068
309	13947	31045
310	14005	31027
311	14029	30935
312	14080	30905
313	14114	30836
314	14147	30765
315	14176	30686
316	14210	30617
317	14244	30548
318	14274	30473
319	14297	30382
320	14326	30303
321	14348	30211
322	14381	30142
323	14412	30069
324	14440	29990
325	14463	29903
326	14491	29824
327	14513	29735
328	14555	29685
329	14581	29604
330	14604	29518
331	14634	29445
332	14656	29357
333	14687	29286
334	14735	29250
335	14771	29190
336	14803	29124
337	14835	29056
338	14868	28990
339	14901	28926
340	14932	28858
341	14955	28773
342	14999	28729
343	15028	28658
344	15054	28582
345	15083	28509
346	15118	28450
347	15177	28436
348	15229	28408
349	15280	28378
350	15330	28346
351	15367	28289
352	15415	28254
353	15465	28222
354	15517	28193
355	15562	28152
356	15587	28074
357	15618	28008
358	15679	27995
359	15720	27947
360	15797	27962
361	15852	27938
362	15898	27898
363	15934	27841
364	15985	27811
365	16033	27773
366	16070	27718
367	16096	27643
368	16142	27603
369	16181	27551
370	16213	27487
371	16246	27426
372	16293	27389
373	16332	27336
374	16363	27272
375	16398	27213
376	16428	27149
377	16459	27084
378	16487	27014
379	16520	26955
380	16554	26895
381	16579	26821
382	16612	26762
383	16644	26700
384	16677	26640
385	16711	26581
386	16757	26543
387	16776	26462
388	16795	26379
389	16825	26316
390	16845	26237
391	16869	26164
392	16888	26085
393	16908	26006
394	16927	25926
395	16955	25861
396	16973	25780
397	16993	25703
398	17022	25640
399	17046	25569
400	17063	25489
401	17080	25408
402	17099	25331
403	17122	25260
404	17150	25196
405	17173	25126
406	17202	25063
407	17228	24998
408	17250	24926
409	17273	24856
410	17453	25012
411	17503	24981
412	17538	24927
413	17569	24869
414	17621	24840
415	17655	24785
416	17679	24717
417	17699	24643
418	17717	24567
419	17736	24493
420	17764	24431
421	17795	24373
422	17815	24301
423	17833	24226
424	17862	24167
425	17883	24095
426	17908	24031
427	17935	23970
428	17969	23916
429	18015	23880
430	18055	23836
431	18124	23830
432	18207	23841
433	18236	23783
434	18259	23716
435	18285	23653
436	18329	23614
437	18364	23563
438	18389	23499
439	18414	23436
440	18433	23365
441	18453	23297
442	18479	23234
443	18497	23163
444	18516	23093
445	18535	23024
446	18560	22961
447	18580	22894
448	18598	22823
449	18615	22751
450	18633	22682
451	18649	22610
452	18666	22539
453	18683	22469
454	18708	22409
455	18751	22369
456	18780	22315
457	18805	22254
458	18827	22191
